model,img_size,accuracy,precision,recall,f1,roc_auc,train_time
Logistic Regression,32,0.48685857321652065,0.4248677829928463,0.48685857321652065,0.4335257151713089,0.7204937451793358,480.67766523361206
KNN (k=7),32,0.41802252816020025,0.3811871971645104,0.41802252816020025,0.3734468870963931,0.6218498906952525,0.6703813076019287
Decision Tree,32,0.4267834793491865,0.36979427637993123,0.4267834793491865,0.37466144179708594,0.6081179836710161,7.919379949569702
Random Forest,32,0.4755944931163955,0.48796789654451406,0.4755944931163955,0.3595739030313917,0.6982134637712537,3.1357626914978027
Logistic Regression,64,0.4881101376720901,0.44512296330697754,0.4881101376720901,0.4427349550390264,0.7190353995134674,1998.9100008010864
KNN (k=7),64,0.40362953692115144,0.3721000865719366,0.40362953692115144,0.3605010933882694,0.6157418883720589,0.7082130908966064
Decision Tree,64,0.402377972465582,0.33297340723866076,0.402377972465582,0.3417610057120118,0.5756964217915932,32.2603018283844
Random Forest,64,0.4737171464330413,0.42345454829506496,0.4737171464330413,0.35846747577835225,0.7026687636185703,5.102985620498657
Logistic Regression,128,0.4336670838548185,0.419392517313298,0.4336670838548185,0.41425716327700657,0.710750757994982,8681.136299848557
KNN (k=7),128,0.40550688360450565,0.37108501858294307,0.40550688360450565,0.3619803029374657,0.6143315448189601,0.922645092010498
Decision Tree,128,0.3992490613266583,0.3393376887310557,0.3992490613266583,0.3551050527047563,0.5494861419785307,133.10729384422302
Random Forest,128,0.4831038798498123,0.43856361428272517,0.4831038798498123,0.3745931787102371,0.697367539689756,9.518359661102295
